Name,,Category,Type,Share settings,Actions
Keyboard,Клавишный инструмент,Instrument / Piano,GPT,,
Piano,Фортепиано,Instrument / Piano,GPT,,
Player Piano,Автоматическое пианино (пианино с роликами),Instrument / Piano,GPT,,
Spinet Piano,Спинет (маленькое пианино),Instrument / Piano,GPT,,
Stage Piano,Сценическое пианино,Instrument / Piano,GPT,,
Synthesizer,Синтезатор,Instrument / Piano,GPT,,
Upright Piano,Вертикальное пианино,Instrument / Piano,GPT,,
Piano,фортепиано,Instrument / Piano,Default,,
Alto Saxophone,Альтовый саксофон,Instrument / Saxophone,GPT,,
Baritone Saxophone,Баритоновый саксофон,Instrument / Saxophone,GPT,,
Bass Saxophone,Бас-саксофон,Instrument / Saxophone,GPT,,
C Melody Saxophone,Си-мелоди саксофон,Instrument / Saxophone,GPT,,
Contrabass Saxophone,Контрабас-саксофон,Instrument / Saxophone,GPT,,
Sopranino Saxophone,Сопранино-саксофон,Instrument / Saxophone,GPT,,
Soprano Saxophone,Сопрано-саксофон,Instrument / Saxophone,GPT,,
Tenor Saxophone,Теноровый саксофон,Instrument / Saxophone,GPT,,
Saxophone,Саксофон,Instrument / Saxophone,Default,,
Bass Strings,Басовые струны,Instrument / Strings,GPT,,
Flatwound Strings,Плоскообмоточные струны,Instrument / Strings,GPT,,
Guitar Strings,Гитарные струны,Instrument / Strings,GPT,,
Nylon Strings,Нейлоновые струны,Instrument / Strings,GPT,,
Roundwound Strings,Круглообмоточные струны,Instrument / Strings,GPT,,
Steel Strings,Металлические струны,Instrument / Strings,GPT,,
String Instruments,Струнные инструменты,Instrument / Strings,GPT,,
Violin Strings,Скрипичные струны,Instrument / Strings,GPT,,
Wound Strings,Обрезиненные/обмотанные струны,Instrument / Strings,GPT,,
Strings,Строки,Instrument / Strings,Default,,
Additive Synth,Аддитивный синтезатор,Instrument / Synth,GPT,,
Analog Synth,Аналоговый синтезатор,Instrument / Synth,GPT,,
Digital Synth,Цифровой синтезатор,Instrument / Synth,GPT,,
FM Synth,FM-синтезатор,Instrument / Synth,GPT,,
Granular Synth,Гранулярный синтезатор,Instrument / Synth,GPT,,
Modular Synth,Модульный синтезатор,Instrument / Synth,GPT,,
Semi-Modular Synth,Полумодульный синтезатор,Instrument / Synth,GPT,,
Subtractive Synth,Вычитающий синтезатор,Instrument / Synth,GPT,,
Synthesizer,Синтезатор,Instrument / Synth,GPT,,
VA Synth (Virtual Analog),Виртуально-аналоговый синтезатор,Instrument / Synth,GPT,,
Wavetable Synth,Вейвтейбл-синтезатор,Instrument / Synth,GPT,,
Workstation Synth,Синтезатор-рабочая станция,Instrument / Synth,GPT,,
Synth,Синтезатор,Instrument / Synth,Default,,
Ambient Synth,Эмбиент-синтезатор,Instrument / Trumpet,GPT,,
Electropop,Электропоп,Instrument / Trumpet,GPT,,
Industrial Synth,Индастриал-синтезатор,Instrument / Trumpet,GPT,,
Progressive Synth,Прогрессивный синтезатор,Instrument / Trumpet,GPT,,
Synthpop,Синтипоп,Instrument / Trumpet,GPT,,
Synthwave,Синтвейв,Instrument / Trumpet,GPT,,
Techno Synth,Техно-синтезатор,Instrument / Trumpet,GPT,,
Trumpet,Труба,Instrument / Trumpet,Default,,
Betrayal,Предательство,Lyric themes,Default,,
Celebration,Празднование,Lyric themes,Default,,
Change,Изменять,Lyric themes,Default,,
Christmas,Рождество,Lyric themes,Default,,
Confidence,Уверенность,Lyric themes,Default,,
Conflict,Конфликт,Lyric themes,Default,,
Connection,Связь,Lyric themes,Default,,
Death,Смерть,Lyric themes,Default,,
Desire,Желание,Lyric themes,Default,,
Destiny,Судьба,Lyric themes,Default,,
Discovery,Открытие,Lyric themes,Default,,
Dream,Мечтать,Lyric themes,Default,,
Empowerment,Расширение прав и возможностей,Lyric themes,Default,,
Energy,Энергия,Lyric themes,Default,,
Escape,Побег,Lyric themes,Default,,
Faith,Вера,Lyric themes,Default,,
Family,Семья,Lyric themes,Default,,
Fear,Страх,Lyric themes,Default,,
Freedom,Свобода,Lyric themes,Default,,
Friendship,Дружба,Lyric themes,Default,,
Fun,Веселье,Lyric themes,Default,,
Gratitude,Благодарность,Lyric themes,Default,,
Happiness,Счастье,Lyric themes,Default,,
Heartbreak,Разбитое сердце,Lyric themes,Default,,
Home,Дом,Lyric themes,Default,,
Hope,Надеяться,Lyric themes,Default,,
Identity,Личность,Lyric themes,Default,,
Individuality,Индивидуальность,Lyric themes,Default,,
Life,Жизнь,Lyric themes,Default,,
Loneliness,Одиночество,Lyric themes,Default,,
Longing,Тоска,Lyric themes,Default,,
Loss,Потеря,Lyric themes,Default,,
Money,Деньги,Lyric themes,Default,,
Nature,Природа,Lyric themes,Default,,
New beginning,Новое начало,Lyric themes,Default,,
Nostalgia,Ностальгия,Lyric themes,Default,,
Pain,Боль,Lyric themes,Default,,
Party,Вечеринка,Lyric themes,Default,,
Power,Власть,Lyric themes,Default,,
Rebellion,Восстание,Lyric themes,Default,,
Regret,Сожалеть,Lyric themes,Default,,
Relationship,Отношение,Lyric themes,Default,,
Romance,Романтика,Lyric themes,Default,,
Strength,Сила,Lyric themes,Default,,
Struggle,Борьба,Lyric themes,Default,,
Success,Успех,Lyric themes,Default,,
Survival,Выживание,Lyric themes,Default,,
Time,Время,Lyric themes,Default,,
Together,Вместе,Lyric themes,Default,,
Unity,Единство,Lyric themes,Default,,
Believe,Полагать,Lyric themes,Custom,,
Better,Лучше,Lyric themes,Custom,,
Children,Дети,Lyric themes,Custom,,
Holiday,Праздничный день,Lyric themes,Custom,,
Magic,Магия,Lyric themes,Custom,,
Challenge,Испытание,Lyric themes / Adventure,GPT,,
Escapade,Авантюра,Lyric themes / Adventure,GPT,,
Excursion,Открытие,Lyric themes / Adventure,GPT,,
Expedition,Поход,Lyric themes / Adventure,GPT,,
Exploration,Экспедиция,Lyric themes / Adventure,GPT,,
Journey,Исследование,Lyric themes / Adventure,GPT,,
Odyssey,Странствие,Lyric themes / Adventure,GPT,,
Quest,Путешествие,Lyric themes / Adventure,GPT,,
Thrill,Выходка,Lyric themes / Adventure,GPT,,
Voyage,Одиссея,Lyric themes / Adventure,GPT,,
Adventure,Приключение,Lyric themes / Adventure,Default,,
Aspiration,Стремление,Lyric themes / Ambition,GPT,,
Commitment,Преданность делу,Lyric themes / Ambition,GPT,,
Determination,Решимость,Lyric themes / Ambition,GPT,,
Drive,Напористость,Lyric themes / Ambition,GPT,,
Goal,Цель,Lyric themes / Ambition,GPT,,
Hustle,Упорный труд,Lyric themes / Ambition,GPT,,
Motivation,Мотивация,Lyric themes / Ambition,GPT,,
Passion,Страсть,Lyric themes / Ambition,GPT,,
Perseverance,Настойчивость,Lyric themes / Ambition,GPT,,
Vision,Видение,Lyric themes / Ambition,GPT,,
Ambition,Амбиции,Lyric themes / Ambition,Default,,
Adoration,Обожание,Lyric themes / Love,GPT,,
Affection,Привязанность,Lyric themes / Love,GPT,,
Attachment,Привязанность,Lyric themes / Love,GPT,,
Desire,Желание,Lyric themes / Love,GPT,,
Devotion,Преданность,Lyric themes / Love,GPT,,
Fondness,Нежность,Lyric themes / Love,GPT,,
Infatuation,Влюбленность,Lyric themes / Love,GPT,,
Love,Любовь,Lyric themes / Love,GPT,,
Passion,Страсть,Lyric themes / Love,GPT,,
Romance,Романтика,Lyric themes / Love,GPT,,
Love,Любовь,Lyric themes / Love,Default,,
Anthemic,Гимновая,Mood/feel,Default,,
Atmospheric,Атмосферная,Mood/feel,Default,,
Bright,Яркая,Mood/feel,Default,,
Building,Развивающаяся,Mood/feel,Default,,
Catchy,Запоминающаяся,Mood/feel,Default,,
Cinematic,Кинематографичная,Mood/feel,Default,,
Confident,Уверенная,Mood/feel,Default,,
Cool,Стильная,Mood/feel,Default,,
Dark,Тёмная,Mood/feel,Default,,
Dramatic,Драматичная,Mood/feel,Default,,
Dreamy,Мечтательная,Mood/feel,Default,,
Driving,Вождение,Mood/feel,Default,,
Emotive,Эмоциональная,Mood/feel,Default,,
Energetic,Энергичная,Mood/feel,Default,,
Epic,Эпичная,Mood/feel,Default,,
Gritty,Жёсткая,Mood/feel,Default,,
Happy,Счастливая,Mood/feel,Default,,
Hopeful,Обнадёживающая,Mood/feel,Default,,
Intense,Напряжённая,Mood/feel,Default,,
Light,Лёгкая,Mood/feel,Default,,
Minimal,Минималистичная,Mood/feel,Default,,
Moody,Переменчивая,Mood/feel,Default,,
Mysterious,Таинственная,Mood/feel,Default,,
Party,Вечеринка,Mood/feel,Default,,
Percussive,Ритмично-ударная,Mood/feel,Default,,
Playful,Игривая,Mood/feel,Default,,
Positive,Позитивная,Mood/feel,Default,,
Powerful,Мощная,Mood/feel,Default,,
Quirky,Причудливая,Mood/feel,Default,,
Reflective,Задумчивая,Mood/feel,Default,,
Retro,Ретро,Mood/feel,Default,,
Rhythmic,Ритмичная,Mood/feel,Default,,
Romantic,Романтичная,Mood/feel,Default,,
Sad,Грустная,Mood/feel,Default,,
Sexy,Сексуальная,Mood/feel,Default,,
Swagger,Дерзкая,Mood/feel,Default,,
Tension,Тревожная,Mood/feel,Default,,
Upbeat,Оптимистичная,Mood/feel,Default,,
Uplifting,Воодушевляющая,Mood/feel,Default,,
Warm,Тёплая,Mood/feel,Default,,
Amusement,Забавная,Mood/feel / Fun,GPT,,
Cheerfulness,Бодрая,Mood/feel / Fun,GPT,,
Enjoyment,Удовлетворяющая,Mood/feel / Fun,GPT,,
Excitement,Восторженная,Mood/feel / Fun,GPT,,
Fun,Весёлая,Mood/feel / Fun,GPT,,
Happiness,Счастливая,Mood/feel / Fun,GPT,,
Joy,Радостная,Mood/feel / Fun,GPT,,
Laughter,Смешная,Mood/feel / Fun,GPT,,
Merriment,Забавная,Mood/feel / Fun,GPT,,
Pleasure,Насыщенная,Mood/feel / Fun,GPT,,
Fun,Весёлая,Mood/feel / Fun,Default,,
Downtempo,Даунтемпо,Tempo,Default,,
Fast,Быстрый,Tempo,Default,,
Midtempo,Средний темп,Tempo,Default,,
Slow,Медленный,Tempo,Default,,
Uptempo,Быстрый темп,Tempo,Default,,
Demo,Демо,Type,Default,,
Focus track,Фокусировка трека,Type,Default,,
Mainstream,Основной поток,Type,Default,,
One stop,Одна остановка,Type,Default,,
Recognizable,Узнаваемый,Type,Default,,
Rerecord,Перезапись,Type,Default,,
Samples,Сэмплы,Type,Default,,
Score,Счет,Type,Default,,
Sound design,Звуковое оформление,Type,Default,,
Acoustic Cover,Акустический кавер,Type / Cover,GPT,,
Arrangement,Аранжировка,Type / Cover,GPT,,
Cover Song,Кавер-песня,Type / Cover,GPT,,
Cover Version,Кавер-версия,Type / Cover,GPT,,
Live Cover,Живой кавер,Type / Cover,GPT,,
Rearrangement,Новая аранжировка,Type / Cover,GPT,,
Reinterpretation,Переосмысление,Type / Cover,GPT,,
Remake,Ремейк,Type / Cover,GPT,,
Tribute,Трибьют (посвящение оригиналу),Type / Cover,GPT,,
Cover,Кавер версия,Type / Cover,Default,,
Commercial-Ready,Готово для коммерческого использования,Type / Easy-clear,GPT,,
Easy-Clear,Легко очистить (в смысле лицензирования),Type / Easy-clear,GPT,,
Hassle-Free Licensing,Лицензирование без сложностей,Type / Easy-clear,GPT,,
Library Music,Музыка из каталога (для лицензирования),Type / Easy-clear,GPT,,
Music Rights Cleared,Права на музыку очищены,Type / Easy-clear,GPT,,
One-Stop Licensing,Одноступенчатая лицензия,Type / Easy-clear,GPT,,
Pre-Cleared Music,Предварительно очищенная музыка,Type / Easy-clear,GPT,,
Quick Clearance,Быстрое одобрение лицензии,Type / Easy-clear,GPT,,
Royalty-Free Music,Музыка без роялти,Type / Easy-clear,GPT,,
Sync-Ready,Готово для синхронизации,Type / Easy-clear,GPT,,
Easy-clear,Легко очищается,Type / Easy-clear,Default,,
Background Music (BGM),Фоновая музыка,Type / Soundtrack,GPT,,
Film Score,Фильмовая партитура,Type / Soundtrack,GPT,,
Game Soundtrack,Игровой саундтрек,Type / Soundtrack,GPT,,
Incidental Music,Инцидентальная музыка (подчеркивает события),Type / Soundtrack,GPT,,
Motion Picture Soundtrack,Киносаундтрек,Type / Soundtrack,GPT,,
Original Soundtrack (OST),Оригинальный саундтрек (OST),Type / Soundtrack,GPT,,
Score,Инструментальная музыка (саундтрек),Type / Soundtrack,GPT,,
Theme Music,Тематическая музыка,Type / Soundtrack,GPT,,
TV Soundtrack,Саундтрек к сериалу,Type / Soundtrack,GPT,,
Soundtrack,Саундтрек,Type / Soundtrack,Default,,
Bumper,Бампер (короткая музыкальная вставка),Type / Sting,GPT,,
Ident,"Идентификационный звук (логотип компании, бренда)",Type / Sting,GPT,,
Jingle,Рекламный джингл,Type / Sting,GPT,,
Logo Sound,Звуковой логотип,Type / Sting,GPT,,
Musical Sting,Музыкальный джингл,Type / Sting,GPT,,
Sweeper,Короткая звуковая заставка (в радио/ТВ),Type / Sting,GPT,,
Tagline Sound,Музыкальный слоган,Type / Sting,GPT,,
Transition Sound,Звуковая перебивка,Type / Sting,GPT,,
Sting,Джингл,Type / Sting,Default,,
A cappella,Акапелла,Vocals,Default,,
Background vocals,Бэк-вокал,Vocals,Default,,
Choir,Хор,Vocals,Default,,
Clean,Чистый,Vocals,Default,,
Duet,Дуэт,Vocals,Default,,
Explicit,Явный,Vocals,Default,,
Female vocal,Женский вокал,Vocals,Default,,
Foreign language,Иностранный язык,Vocals,Default,,
French language,французский язык,Vocals,Default,,
German language,немецкий язык,Vocals,Default,,
Harmonies,Гармонии,Vocals,Default,,
Instrumental,Инструментальный,Vocals,Default,,
Male vocal,Мужской вокал,Vocals,Default,,
Oohs,Ооо,Vocals,Default,,
Spanish language,испанский язык,Vocals,Default,,
Whispering,Шепот,Vocals,Default,,
Whistling,Свист,Vocals,Default,,
